id,name,sector,profession,primary_connection_type,all_connection_types,era,post_2008_contact,pre_2008_contact,island_status,island_notes,townhouse_status,townhouse_notes,palm_beach_status,palm_beach_notes,zorro_ranch_status,zorro_ranch_notes,paris_status,paris_notes,any_property_visited_or_offered,flew_private_plane,flight_count_estimate,flight_notes,organizations,connected_people_count,connected_people,wikipedia_url,has_photo,citations_count,bio_excerpt
marcinko,Nadia Marcinko,Royalty & Aristocracy,"Nadia Marcinko, also known as Nadia Marcinkova, is a Slovak-born model and...",Professional Service Provider,Professional Service Provider; Business / Investment Partner,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,True,,"It was around this time she began taking flight lessons; by 2010, she was an influencer under the moniker ""Gulfstream Girl"", and later ""Global Girl"".",DEKA Research; United Nations,0,,https://en.wikipedia.org/wiki/Nadia_Marcinko,False,2,"Nadia Marcinko, also known as Nadia Marcinkova, is a Slovak-born model and pilot. In 2007, federal prosecutors identified Marcinko as a potential co-conspirator..."
ghislaine-maxwell,Ghislaine Maxwell,Royalty & Aristocracy,"Ghislaine Maxwellis a British former socialite, convicted child sex trafficker, and daughter...",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Robert Maxwell,https://en.wikipedia.org/wiki/Ghislaine_Maxwell,True,1,"Ghislaine Maxwellis a British former socialite, convicted child sex trafficker, and daughter of Robert Maxwell. She was a prominent former business partner of E..."
robert-maxwell,Robert Maxwell,"Politics, Government & Diplomacy",Robert Maxwellwas a Czechoslovak-born British-French media proprietor and politician,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Pre-2008 Only,False,True,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Robert_Maxwell,True,1,Robert Maxwellwas a Czechoslovak-born British-French media proprietor and politician. Epstein wrote an email speculating about the circumstances surrounding Max...
matthew-menchel,Matthew Menchel,"Law, Law Enforcement & Legal Defense",chief criminal prosecutor,Business / Investment Partner,Business / Investment Partner; Social Acquaintance / Guest,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,,0,,,False,2,"Matthew Menchel was the chief criminal prosecutor who spearheaded Epstein's 2007 sweetheart deal, after which he left the Department of Justice and continued to..."
mette-marit,Queen Mette-Marit of Norway,Royalty & Aristocracy,Queen Mette-Marit of Norwaywas mentioned over a thousand times in the Epstein...,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,Visited / Stayed,"Queen Mette-Marit of Norwaywas mentioned over a thousand times in the Epstein files, with communications spanning 2011 to 2014.[191][192][193][125]Documents showed she spent four days at Epstein's house in Palm Beach in January 2013; one message implied she was aware of his 2008 jail term.",None,,None,,True,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Queen_Mette-Marit_of_Norway,True,5,"Queen Mette-Marit of Norwaywas mentioned over a thousand times in the Epstein files, with communications spanning 2011 to 2014.[191][192][193][125]Documents sho..."
minsky,Marvin Minsky,"Academia, Science & Research",Marvin Minskywas an American cognitive and computer scientist,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,Denied,"In an unsealed deposition from May 2016,Virginia Giuffrestated that she had been directed to have sex with Minsky during a visit to Epstein's compound in the US Virgin Islands.[194]Minsky's widow, Gloria Rudisch, denied this, claiming they were always together during their visits to the island.[195]Minsky also organized two academic symposia on artificial intelligence at Epstein's compound: one in 2002, and another one in 2011.[194]",None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Marvin_Minsky,True,3,"Marvin Minskywas an American cognitive and computer scientist. In an unsealed deposition from May 2016,Virginia Giuffrestated that she had been directed to have..."
mitchell,George J. Mitchell,"Politics, Government & Diplomacy",George J,Social Acquaintance / Guest,Social Acquaintance / Guest,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,FIRST Robotics; MIT; United Nations,1,Ghislaine Maxwell,https://en.wikipedia.org/wiki/George_J._Mitchell,True,5,"George J. Mitchellis an American politician, diplomat, and lawyer. A 2003 handwritten letter in Epstein's ""birthday book"" showed the formerU.S. Senate majority ..."
mwb60,"Mohammed bin Salman, Crown Prince of Saudi Arabia","Politics, Government & Diplomacy",Mohammed bin Salmanis theCrown PrinceandPrime Ministerof Saudi Arabia,Financial / Funding Recipient,Financial / Funding Recipient,Post-2008 Only,True,False,None,,Referenced,Epstein also kept a framed photograph of himself and Mohammed in his New York townhouse.[199],None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Crown_Prince_of_Saudi_Arabia,True,1,"Mohammed bin Salmanis theCrown PrinceandPrime Ministerof Saudi Arabia. In a 2016 email Epstein wrote that Mohammed had gifted him a tent, ""carpets and all"", fol..."
carol-montgomery,Carol Montgomery,"Law, Law Enforcement & Legal Defense",Carol Montgomery was one of severalUnited States Customs and Border Protectionofficers who...,Social Acquaintance / Guest,Social Acquaintance / Guest,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,,False,1,"Carol Montgomery was one of severalUnited States Customs and Border Protectionofficers who maintained a friendship with Epstein. Montgomery sent Epstein a ""welc..."
moskowitz,Bruce Moskowitz,Healthcare & Medicine,Dr,Professional Service Provider,Professional Service Provider; Financial / Funding Recipient; Business / Investment Partner; Social Acquaintance / Guest,Undated / Ongoing,False,False,None,,None,,Referenced,"Bruce Moskowitz, a Palm Beach internist who was also part of Donald Trump'sMar-a-Lago Crowd,[201]was Epstein's physician.",Visited / Stayed,"In return, Epstein donated money to Moskowitz's foundations, invested venture capital in their son's efforts, and provided guest rooms for Moskowitz at Epstein's New Mexico ranch.[202]",None,,True,False,,,United Nations,1,Donald Trump,,False,2,"Dr. Bruce Moskowitz, a Palm Beach internist who was also part of Donald Trump'sMar-a-Lago Crowd,[201]was Epstein's physician. He treated young women Epstein sen..."
moss-salentijn,Letty Moss-Salentijn,"Academia, Science & Research",vice-dean for academic affairs,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,Columbia University; MIT; United Nations,2,Thomas Magnani; Karyna Shuliak,,False,2,Letty Moss-Salentijn was the vice-dean for academic affairs at Columbia University's dental college. After the dental college rejectedKaryna Shuliak'sadmission ...
mountbatten-windsor,Andrew Mountbatten-Windsor,Royalty & Aristocracy,Andrew Mountbatten-Windsoris a member of theBritish royal familyand formerDuke of York,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Ghislaine Maxwell,https://en.wikipedia.org/wiki/Andrew_Mountbatten-Windsor,True,9,"Andrew Mountbatten-Windsoris a member of theBritish royal familyand formerDuke of York. In a 2010 email exchange, Epstein offered to introduce then-Prince Andre..."
mugabe,Robert Mugabe,"Politics, Government & Diplomacy",Robert Mugabewas the leader ofZimbabwefrom 1980 to 2017,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Robert_Mugabe,True,3,"Robert Mugabewas the leader ofZimbabwefrom 1980 to 2017. In a 2015 email exchange, Japanese financerJoi Itosuggested Epstein meet Mugabe to talk about providing..."
musk,Elon Musk,"Tech, Crypto & Venture Capital",Elon Muskis the world's firsttrillionaire,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,Referenced,"Virgin Islands compound in 2013-14.[169]In 2012, Musk asked Epstein about his then-wifeTalulah Rileyand him attending ""the wildest party"" on his island.",None,,None,,None,,None,,False,False,,,FIRST Robotics; United Nations,0,,https://en.wikipedia.org/wiki/Elon_Musk,True,5,Elon Muskis the world's firsttrillionaire. He and Epstein coordinated a possible holiday visit to Epstein's U.S. Virgin Islands compound in 2013-14.[169]In 2012...
kimbal-musk,Kimbal Musk,"Finance, Business & Real Estate",Kimbal Muskis a businessman referenced more than 140times in emails exchanged between...,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Kimbal_Musk,True,5,"Kimbal Muskis a businessman referenced more than 140times in emails exchanged between Epstein, his associates, and his brotherElon.[211]Kimbal began socializing..."
myhrvold,Nathan Myhrvold,"Academia, Science & Research","American inventor, scientist, and businessman,",Business / Investment Partner,Business / Investment Partner; Social Acquaintance / Guest,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,Microsoft; United Nations,0,,https://en.wikipedia.org/wiki/Nathan_Myhrvold,True,1,"Nathan Myhrvoldis an American inventor, scientist, and businessman, who was formerlychief technology officeratMicrosoft. Epstein and Myhrvold frequently emailed..."
neilson,Annabelle Neilson,"Entertainment, Arts & Media",Annabelle Neilsonwas a British model and socialite,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Annabelle_Neilson,True,2,"Annabelle Neilsonwas a British model and socialite. Neilson was identified as having emailed Epstein numerous times between 2010 and 2012, Neilson agreed to ""pu..."
new,Elisa New,"Politics, Government & Diplomacy",Elisa Newis a former professor atHarvard University,Financial / Funding Recipient,Financial / Funding Recipient,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,Harvard University; United Nations,0,,https://en.wikipedia.org/wiki/Elisa_New,False,2,"Elisa Newis a former professor atHarvard University. In 2015, New wrote to Epstein to thank him for a donation he had arranged. A 2020 Harvard review found that..."
nikolic,Boris Nikolic,Royalty & Aristocracy,"Boris Nikolicis a Croatian doctor, biotech investor, and former adviser to the...",Professional Service Provider,Professional Service Provider,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,Gates Foundation; United Nations,2,Bill Clinton; Christopher Poole,https://en.wikipedia.org/wiki/Estate_of_Jeffrey_Epstein#Management,False,4,"Boris Nikolicis a Croatian doctor, biotech investor, and former adviser to the Bill and Melinda Gates Foundation. Epstein named him the backup executor ofhis es..."
nowak,Martin Nowak,"Academia, Science & Research",Martin Nowakteaches mathematics and biology atHarvard University,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,Harvard University; United Nations,0,,https://en.wikipedia.org/wiki/Martin_Nowak,True,1,"Martin Nowakteaches mathematics and biology atHarvard University. In 2003, Epstein donated $6.5 million to establish Harvard's Program for Evolutionary Dynamics..."
pastrana-arango,Andrés Pastrana Arango,"Politics, Government & Diplomacy",Andrés Pastrana ArangowasPresident of Colombiafrom 1998 to 2002,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,True,,"According to flight logs fromEpstein's private jet, Pastrana was present on a flight fromCarabobo, Venezuela, toNassau, the Bahamas, in 2003.",MIT; United Nations,1,Ghislaine Maxwell,https://en.wikipedia.org/wiki/Andrés_Pastrana_Arango,True,2,"Andrés Pastrana ArangowasPresident of Colombiafrom 1998 to 2002. According to flight logs fromEpstein's private jet, Pastrana was present on a flight fromCarabo..."
brock-pierce,Brock Pierce,"Tech, Crypto & Venture Capital",Brock Pierceis an American businessman and co-founder of the cryptocurrencyTether,Business / Investment Partner,Business / Investment Partner,Post-2008 Only,True,False,Referenced,"Pierce and Epstein first met at a conference held on Little Saint James in 2011.[29]In March 2012, Pierce emailed Epstein that he ""had a great time with the girls"" and in May 2012, Epstein offered to arrange a meeting between Pierce and ""my new Russian"".[29]While Pierce was on a trip toMoscow,Kyiv, andOdessain 2012, Epstein asked him to ""take photos and find me a present"".",None,,None,,None,,None,,False,False,,,FIRST Robotics; United Nations,0,,https://en.wikipedia.org/wiki/Brock_Pierce,False,4,Brock Pierceis an American businessman and co-founder of the cryptocurrencyTether. Pierce and Epstein first met at a conference held on Little Saint James in 20...
jean-pigozzi,Jean Pigozzi,"Entertainment, Arts & Media",French-born Italian art collector and philanthropist,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Jean_Pigozzi,False,2,Jean Pigozziis a French-born Italian art collector and philanthropist who inherited his fortune from his father Henri. Pigozzi and Epstein had a substantial cor...
pinker,Steven Pinker,"Academia, Science & Research",Steven Pinkeris a Canadian-American Harvard University professor of psychology and a public...,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,True,,"Steven Pinkeris a Canadian-American Harvard University professor of psychology and a public intellectual involved in the Americanculture wars.[226]He has intersected with Epstein throughBrockman,Dershowitz,Kosslyn,Krauss, andNowak.[227]He also helped Epstein with his legal defense.[228]Video footage from the December 2025 files release has shown four seconds of Pinker riding with Epstein on hisplane.[229]",Harvard University; United Nations,5,John Brockman; Alan Dershowitz; Stephen Kosslyn; Lawrence Krauss; Martin Nowak,https://en.wikipedia.org/wiki/Steven_Pinker,True,4,Steven Pinkeris a Canadian-American Harvard University professor of psychology and a public intellectual involved in the Americanculture wars.[226]He has inters...
alberto-pinto-and-linda-pinto,Alberto Pinto and Linda Pinto,"Entertainment, Arts & Media",Alberto Pintoand Linda Pinto created a famous design group in Paris,Intermediary / Introduced Others,Intermediary / Introduced Others; Social Acquaintance / Guest,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,,1,Ghislaine Maxwell,https://en.wikipedia.org/wiki/Alberto_Pinto_(interior_designer),False,5,Alberto Pintoand Linda Pinto created a famous design group in Paris.[230][231]They worked on theHerbert N. Straus HousewhenWexnerowned it; Epstein hired to desi...
phelan,John Phelan,"Politics, Government & Diplomacy",American businessman,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,True,,His name is present in a flight manifest from Jeffrey Epstein's private airplane in 2006.,United Nations,0,,https://en.wikipedia.org/wiki/John_Phelan_(businessman),True,1,John Phelanis an American businessman who formerly served asUnited States Secretary of the Navy. His name is present in a flight manifest from Jeffrey Epstein's...
plaskett,Stacey Plaskett,"Academia, Science & Research",Stacey Plaskettis the U,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,MIT,0,,https://en.wikipedia.org/wiki/Stacey_Plaskett,True,1,Stacey Plaskettis the U.S. Virgin Islands representative. Timestamps and contents of text messages revealed an exchange between Epstein and Plaskett during a Fe...
poole,Christopher Poole,"Finance, Business & Real Estate",Christopher Poole(a,Intermediary / Introduced Others,Intermediary / Introduced Others,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Christopher_Poole,True,2,"Christopher Poole(a.k.a.""moot"") is an American Internet entrepreneur and founder of4chan. In October 2011, Epstein met Poole. Epstein later wrote to the person ..."
previn,Soon-Yi Previn,"Politics, Government & Diplomacy",Soon-Yi PrevinisWoody Allen's wife,Intermediary / Introduced Others,Intermediary / Introduced Others; Social Acquaintance / Guest,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,Bard College,2,Woody Allen; Leon Botstein,https://en.wikipedia.org/wiki/Soon-Yi_Previn,True,2,"Soon-Yi PrevinisWoody Allen's wife. She maintained email correspondence with Epstein. She repeatedly said that theMeToo movementhad ""gone too far""; she also des..."
thomas-pritzker,Thomas Pritzker,Royalty & Aristocracy,Thomas Pritzkeris an American billionaire businessman,Social Acquaintance / Guest,Social Acquaintance / Guest,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Thomas_Pritzker,False,3,"Thomas Pritzkeris an American billionaire businessman. Pritzker originally downplayed his contact with Epstein, but the release of the Epstein files revealed co..."
mariya-prusakova,Mariya Prusakova,"Entertainment, Arts & Media","Mariya ""Masha"" Prusakovais a Russian snowboarder",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,FIRST Robotics; United Nations,1,Ghislaine Maxwell,https://en.wikipedia.org/wiki/Mariya_Prusakova_(snowboarder),False,4,"Mariya ""Masha"" Prusakovais a Russian snowboarder. Epstein and Prusakova first met in 2011.[43]She helped Epstein recruit women, stating in a 2013 email: ""Someti..."
hardeep-singh-puri,Hardeep Singh Puri,"Politics, Government & Diplomacy","Hardeep Singh Puriis an Indian politician and, since 2021, theUnion Minister of...",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,MIT; United Nations,0,,https://en.wikipedia.org/wiki/Hardeep_Singh_Puri,True,2,"Hardeep Singh Puriis an Indian politician and, since 2021, theUnion Minister of Petroleum and Natural Gas. An email from Puri to Epstein in November 2014 detail..."
v.-s.-ramachandran,V. S. Ramachandran,"Entertainment, Arts & Media",V,Financial / Funding Recipient,Financial / Funding Recipient; Intermediary / Introduced Others,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/V._S._Ramachandran,True,1,"V. S. Ramachandran(also known as Vilayanur S. Ramachandran) is a director ofUniversity of California, San Diego's psychology department. In 2017,Deepak Choprain..."
ramo,Joshua Cooper Ramo,"Politics, Government & Diplomacy",Joshua Cooper Ramois an American foreign policy consultant and co-chief executive ofKissinger...,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,None,,Referenced,"Scheduling documents showed the then co-CEO ofHenry Kissinger's corporate consulting firm had more than a dozen meetings with Epstein from 2013 to 2017, many in the evenings at Epstein's Manhattan townhouse.",None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Joshua_Cooper_Ramo,True,1,"Joshua Cooper Ramois an American foreign policy consultant and  co-chief executive ofKissinger Associates.
Scheduling documents showed the then co-CEO ofHenry K..."
randall,Lisa Randall,Royalty & Aristocracy,Lisa Randallis a professor of physics atHarvard Universitywho met with Epstein several...,Intermediary / Introduced Others,Intermediary / Introduced Others,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,Harvard University; United Nations,1,John Brockman,https://en.wikipedia.org/wiki/Lisa_Randall,True,1,"Lisa Randallis a professor of physics atHarvard Universitywho met with Epstein several times, including to his Caribbean island in 2014. They exchanged hundreds..."
ratner,Brett Ratner,"Entertainment, Arts & Media",film director and producer,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Jean-Luc Brunel,https://en.wikipedia.org/wiki/Brett_Ratner,True,2,Brett Ratneris a film director and producer who appeared in undated photographs with Epstein andJean-Luc Brunel.[245]Additional images showed Ratner seated on a...
richardson,Bill Richardson,"Politics, Government & Diplomacy",Bill Richardsonwas a former governor of New Mexico,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,None,,None,,None,,Referenced,Bill Richardsonwas a former governor of New Mexico.,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Bill_Richardson,False,1,"Bill Richardsonwas a former governor of New Mexico. Records show that Richardson arranged to meet with Epstein at least nine times after 2006, when he publicly ..."
rød-larsen,Terje Rød-Larsen,"Politics, Government & Diplomacy","Terje Rød-Larsenis a Norwegian former diplomat, politician, and sociologist",Intermediary / Introduced Others,Intermediary / Introduced Others,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,,2,Mona Juul; Jean Todt,https://en.wikipedia.org/wiki/Terje_Rød-Larsen,True,3,"Terje Rød-Larsenis a Norwegian former diplomat, politician, and sociologist.
The Epstein files indicated that each of Terje Rød-Larsen's children were to be giv..."
rothschild,David A. Ross,"Entertainment, Arts & Media",David A,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/David_A._Ross?action=edit&redlink=1,False,6,"David A. Rossis an art curator. His relationship with Epstein went back as far as the 1990s, when Ross was a director at theWhitney Museum of Art.[250]After Eps..."
ariane-de-rothschild,Ariane de Rothschild,"Finance, Business & Real Estate",Ariane de Rothschildis a French banker and CEO ofEdmond de Rothschild Group,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Ariane_de_Rothschild,True,1,"Ariane de Rothschildis a French banker and CEO ofEdmond de Rothschild Group.

Scheduling documents indicate deRothschild had more than a dozen meetings with Eps..."
lynn-forester-de-rothschild,Lynn Forester de Rothschild,Royalty & Aristocracy,Lynn Forester de Rothschildis the chair ofE,Intermediary / Introduced Others,Intermediary / Introduced Others,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,United Nations,3,Alan Dershowitz; Ghislaine Maxwell; Peter Mandelson,https://en.wikipedia.org/wiki/Lynn_Forester_de_Rothschild,False,4,Lynn Forester de Rothschildis the chair ofE.L. Rothschild. Epstein said that he had given her financial help in the 1990s during her divorce from her second hus...
nouriel-roubini,Nouriel Roubini,"Academia, Science & Research","Nouriel Roubiniis an economic consultant, economist, speaker, writer, and professor",Intermediary / Introduced Others,Intermediary / Introduced Others,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Nouriel_Roubini,True,1,"Nouriel Roubiniis an economic consultant, economist, speaker, writer, and professor. Gino Yu, an academic, introduced Roubini to Epstein in 2018 by email. Roubi..."
rowan,Marc Rowan,"Finance, Business & Real Estate",Marc Rowanis theApollo Global ManagementCEO,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,Referenced,Rowan and another Apollo executive met people fromEdmond de Rothschild Groupat Epstein's Manhattan townhouse in early 2016.,None,,None,,None,,False,False,,,Apollo Global Management,0,,https://en.wikipedia.org/wiki/Marc_Rowan,True,1,"Marc Rowanis theApollo Global ManagementCEO. He corresponded with Epstein over the firm's tax arrangements throughout the 2010s. In 2015, an Apollo partner emai..."
rudd,Kevin Rudd,"Politics, Government & Diplomacy","Kevin Ruddwasprime minister of Australia, and since 2023 isAustralia's ambassador to the...",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Kevin_Rudd,True,1,"Kevin Ruddwasprime minister of Australia, and since 2023 isAustralia's ambassador to the US. Documents released in 2026 show a meeting between Rudd and Epstein ..."
ruemmler,Kathryn Ruemmler,"Politics, Government & Diplomacy","Kathryn Ruemmleris a formerWhite House CounselunderBarack Obama, and as of 2026 general...",Intermediary / Introduced Others,Intermediary / Introduced Others; Social Acquaintance / Guest,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations; White House,1,Steve Bannon,https://en.wikipedia.org/wiki/Kathryn_Ruemmler,True,8,"Kathryn Ruemmleris a formerWhite House CounselunderBarack Obama, and as of 2026 general counsel ofGoldman Sachs. The two were introduced in 2014 by Epstein's la..."
schoen,David Schoen,"Law, Law Enforcement & Legal Defense",American attorney,Professional Service Provider,Professional Service Provider; Business / Investment Partner,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Donald Trump,https://en.wikipedia.org/wiki/David_Schoen,True,1,"David Schoenis an American attorney who served as one of Donald Trump's impeachment defense lawyers.
In 2011, Schoen wrote to Epstein: ""These past couple of yea..."
seckel,Al Seckel,Royalty & Aristocracy,Al Seckel(died 2015) was an American writer and skeptic married to Ghislaine...,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,FIRST Robotics; United Nations,1,Ghislaine Maxwell,https://en.wikipedia.org/wiki/Al_Seckel,True,9,"Al Seckel(died 2015) was an American writer and skeptic married to Ghislaine Maxwell's sister,Isabel Maxwell. In 2010, Seckel discussedreputation managementwith..."
mwcxm,Roger Schank,Royalty & Aristocracy,"Roger Schank(died 2023), was aNorthwestern UniversityProfessor of computer science",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,FIRST Robotics; United Nations,0,,https://en.wikipedia.org/wiki/Roger_Schank,False,2,"Roger Schank(died 2023), was aNorthwestern UniversityProfessor of computer science. Schank regularly defended Epstein publicly, asked him for the use of an apar..."
serrano,Andres Serrano,"Entertainment, Arts & Media",Andres Serranois an American photographer and artist,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Andres_Serrano,True,1,"Andres Serranois an American photographer and artist.
Serrano photographed Epstein shortly before Epstein's death in 2019. In 2016, Serrano emailed Epstein that..."
shimony,Rony Shimony,Healthcare & Medicine,Dr,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,Referenced,He andEva Andersson Dubinhelped Epstein investigate how to buy ambulances for his New Mexico and Little Saint James properties.,None,,None,,Referenced,He andEva Andersson Dubinhelped Epstein investigate how to buy ambulances for his New Mexico and Little Saint James properties.,None,,False,False,,,,3,Eva Andersson-Dubin; Leon Black; Thorbjørn Jagland,,False,1,Dr. Rony Shimony was Epstein's cardiologist and he also socialized with Epstein in his New York mansion. He andEva Andersson Dubinhelped Epstein investigate how...
shuliak,Karyna Shuliak,"Academia, Science & Research",Karyna Shuliakis a Belarus-born dentist and was Epstein's girlfriend,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,Columbia University; MIT; United Nations,0,,https://en.wikipedia.org/wiki/Karyna_Shuliak,False,2,Karyna Shuliakis a Belarus-born dentist and was Epstein's girlfriend. Epstein gave her a 32.73-carat diamond ring and planned to give her all of his homes and $...
siad,Daniel Siad,"Entertainment, Arts & Media",Swedish modeling scout,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Jean-Luc Brunel,https://en.wikipedia.org/wiki/Daniel_Siad,True,2,Daniel Siadwas a Swedish modeling scout who worked on commission forJean-Luc Bruneland regularly set up meetings between Epstein and teenaged aspiring models. I...
siegal,Peggy Siegal,"Politics, Government & Diplomacy",Peggy Siegalis an American entertainment publicist,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,White House,0,,https://en.wikipedia.org/wiki/Peggy_Siegal,False,1,"Peggy Siegalis an American entertainment publicist. She had corresponded with Epstein in 2009 during a trip to Kenya. In the email correspondence, she had offer..."
anastasiya-siroochenko,Anastasiya Siroochenko,Royalty & Aristocracy,art advisor and collector,Business / Investment Partner,Business / Investment Partner,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Jean-Luc Brunel,,False,1,"Siroochenko is an art advisor and collector who met Epstein in 2010, when she was 22 and working as a model withBrunel'sagency. Epstein coordinated her financia..."
