id,name,sector,profession,primary_connection_type,all_connection_types,era,post_2008_contact,pre_2008_contact,island_status,island_notes,townhouse_status,townhouse_notes,palm_beach_status,palm_beach_notes,zorro_ranch_status,zorro_ranch_notes,paris_status,paris_notes,any_property_visited_or_offered,flew_private_plane,flight_count_estimate,flight_notes,organizations,connected_people_count,connected_people,wikipedia_url,has_photo,citations_count,bio_excerpt
delson,Lawrence Delson,"Academia, Science & Research",professor,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,,False,1,"Lawrence Delson was a professor at theFashion Institute of Technology. He and Epstein communicated for several years, writing to each other about how they cheri..."
dershowitz,Alan Dershowitz,"Law, Law Enforcement & Legal Defense",Alan Dershowitzwas part of the team that negotiated a non-prosecution agreement for...,Professional Service Provider,Professional Service Provider,Pre-2008 Only,False,True,None,,None,,None,,None,,None,,False,False,,,JPMorgan Chase,3,Leon Black; Glenn Dubin; Les Wexner,https://en.wikipedia.org/wiki/Alan_Dershowitz,True,2,"Alan Dershowitzwas part of the team that negotiated a non-prosecution agreement for Epstein in 2007.[89]Weeks after Epstein's death,JPMorgan Chasefiled a suspic..."
drokova,Maria Drokova,Royalty & Aristocracy,Maria Drokovais a Russian investor and venture capitalist,Business / Investment Partner,Business / Investment Partner,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Maria_Drokova,False,10,"Maria Drokovais a Russian investor and venture capitalist. Epstein paid Drokova for public relations work.[90][91]In 2017 and 2018, Drokova set up meetings with..."
dubin,Glenn Dubin,"Finance, Business & Real Estate",Glenn Dubinis an American billionaire hedge fund manager and husband of Epstein's...,Social Acquaintance / Guest,Social Acquaintance / Guest,Pre-2008 Only,False,True,None,,None,,None,,None,,None,,False,False,,,JPMorgan Chase; United Nations,4,Eva Andersson-Dubin; Leon Black; Alan Dershowitz; Les Wexner,https://en.wikipedia.org/wiki/Glenn_Dubin,True,3,"Glenn Dubinis an American billionaire hedge fund manager and husband of Epstein's former girlfriendEva Andersson-Dubin. Weeks after Epstein's death,JPMorgan Cha..."
edwardepstein,Edward Jay Epstein,"Entertainment, Arts & Media",Edward Jay Epstein(no relation to Jeffrey Epstein) was an investigative journalist,Financial / Funding Recipient,Financial / Funding Recipient,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,FIRST Robotics; United Nations,1,Ben Goertzel,https://en.wikipedia.org/wiki/Edward_Jay_Epstein,True,4,"Edward Jay Epstein(no relation to Jeffrey Epstein) was an investigative journalist. His first contact with Jeffrey Epstein was from 1987–1989, when he wrote abo..."
farkas,Andrew Farkas,"Academia, Science & Research",Andrew Farkasco-owned a marina with Epstein in St,Business / Investment Partner,Business / Investment Partner,Post-2008 Only,True,False,Visited,Farkas also stayed on Epstein's island.,None,,None,,None,,None,,True,False,,,Harvard University; United Nations,0,,https://en.wikipedia.org/wiki/Andrew_Farkas_(businessman),False,2,Andrew Farkasco-owned a marina with Epstein in St. Thomas. Documents showed the two men exchanged crude emails about women in 2010. As chair of theHasty Pudding...
ferguson,Sarah Ferguson,Royalty & Aristocracy,"Sarah Ferguson, formerlyDuchess of York, is the ex-wife ofMountbatten-Windsor",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Andrew Mountbatten-Windsor,https://en.wikipedia.org/wiki/Sarah_Ferguson,True,2,"Sarah Ferguson, formerlyDuchess of York, is the ex-wife ofMountbatten-Windsor. In a 2009 email, she called Epstein a ""brother"" and seemed to suggest she and her..."
bill-gates,Bill Gates,"Academia, Science & Research",Bill Gatesco-foundedMicrosoft,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,MIT; Microsoft; United Nations,0,,https://en.wikipedia.org/wiki/Bill_Gates,True,9,"Bill Gatesco-foundedMicrosoft. Gates and Epstein met in 1992; according toThe New York Times, they also had many meetings starting in 2011.[100]In a January 202..."
gelernter,David Gelernter,"Academia, Science & Research",David Gelernteris aYaleprofessor who corresponded with Epstein from 2009 to 2015,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/David_Gelernter,True,2,"David Gelernteris aYaleprofessor who corresponded with Epstein from 2009 to 2015.[108]Amid a review by Yale in February 2026, Gelernter has been relieved of tea..."
gordon-getty,Gordon Getty,"Finance, Business & Real Estate",Gordon Gettyis the billionaire heir of theGetty Oilfortune,Financial / Funding Recipient,Financial / Funding Recipient; Intermediary / Introduced Others,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Gordon_Getty,True,1,"Gordon Gettyis the billionaire heir of theGetty Oilfortune. He often fundedRobert Trivers'research, and Trivers introduced Getty to Epstein. When learning of Ep..."
goertzel,Ben Goertzel,"Academia, Science & Research","chief scientist atHanson Robotics, to",Financial / Funding Recipient,Financial / Funding Recipient,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Ben_Goertzel,True,4,"Ben Goertzelwas the chief scientist atHanson Robotics, to whom Epstein gave a $100,000 grant and additional funds over the next decade. Between 2010 and 2015, E..."
josh-harris,Josh Harris,"Finance, Business & Real Estate",Josh Harrisco-foundedApollo Global ManagementandHarris Blitzer Sports & Entertainment,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,Apollo Global Management; United Nations,1,Bill Gates,https://en.wikipedia.org/wiki/Josh_Harris_(businessman),True,2,Josh Harrisco-foundedApollo Global ManagementandHarris Blitzer Sports & Entertainment. The American billionaire corresponded with Epstein from 2013–2016.[58]Ema...
hawking,Stephen Hawking,Royalty & Aristocracy,Stephen Hawkingwas atheoretical physicistwho was mentioned in court documents released in 2024...,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,Visited,Stephen Hawkingwas atheoretical physicistwho was mentioned in court documents released in 2024 during Maxwell's trial.[115][116][117]Hawking has been reported as a guest on Epstein's island.[118],None,,None,,None,,None,,True,False,,,,0,,https://en.wikipedia.org/wiki/Stephen_Hawking,True,4,Stephen Hawkingwas atheoretical physicistwho was mentioned in court documents released in 2024 during Maxwell's trial.[115][116][117]Hawking has been reported a...
hoffman,Reid Hoffman,"Finance, Business & Real Estate","LinkedInco-founderReid Hoffmanattended the dinner withMusk,ThielandZuckerberg",Business / Investment Partner,Business / Investment Partner; Social Acquaintance / Guest,Post-2008 Only,True,False,Visited,"LinkedInco-founderReid Hoffmanattended the dinner withMusk,ThielandZuckerberg.[55]Documents showed he visited Epstein's island in November 2014, and had multipleSkypecalls with him in 2013 and 2014 as per Epstein's calendar.[119]",None,,None,,None,,None,,True,False,,,United Nations,1,Mark Zuckerberg,https://en.wikipedia.org/wiki/Reid_Hoffman,True,2,"LinkedInco-founderReid Hoffmanattended the dinner withMusk,ThielandZuckerberg.[55]Documents showed he visited Epstein's island in November 2014, and had multipl..."
jack-horner,Jack Horner,"Academia, Science & Research",paleontologist,Financial / Funding Recipient,Financial / Funding Recipient,Post-2008 Only,True,False,None,,None,,None,,Visited / Stayed,Jack Horneris a paleontologist who visited a New Mexico property owned by Epstein in 2012 and exchanged several emails with him thereafter.,None,,True,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Jack_Horner_(paleontologist),True,3,Jack Horneris a paleontologist who visited a New Mexico property owned by Epstein in 2012 and exchanged several emails with him thereafter. These messages conta...
ito,Joi Ito,Royalty & Aristocracy,Joi Itois a former director of theMIT Media Labwho received $1,Financial / Funding Recipient,Financial / Funding Recipient; Social Acquaintance / Guest,Post-2008 Only,True,False,Visited,He twice traveled to Epstein's island seeking donations.,None,,None,,None,,None,,True,False,,,Harvard University; MIT; United Nations,1,Bill Gates,https://en.wikipedia.org/wiki/Joi_Ito,True,2,"Joi Itois a former director of theMIT Media Labwho received $1.7 million from Epstein, including $1.2 million for his own investment funds. Internal emails show..."
